unicode,name,image_path
U+1F9DC U+200D U+2640 U+FE0F,mermaid,data\emoji_images\U+1F9DC U+200D U+2640 U+FE0F.png
U+1F9DD,elf,data\emoji_images\U+1F9DD.png
U+1F9DD U+200D U+2642 U+FE0F,man elf,data\emoji_images\U+1F9DD U+200D U+2642 U+FE0F.png
U+1F9DD U+200D U+2640 U+FE0F,woman elf,data\emoji_images\U+1F9DD U+200D U+2640 U+FE0F.png
U+1F9DE,genie,data\emoji_images\U+1F9DE.png
U+1F9DE U+200D U+2642 U+FE0F,man genie,data\emoji_images\U+1F9DE U+200D U+2642 U+FE0F.png
U+1F9DE U+200D U+2640 U+FE0F,woman genie,data\emoji_images\U+1F9DE U+200D U+2640 U+FE0F.png
U+1F9DF,zombie,data\emoji_images\U+1F9DF.png
U+1F9DF U+200D U+2642 U+FE0F,man zombie,data\emoji_images\U+1F9DF U+200D U+2642 U+FE0F.png
U+1F9DF U+200D U+2640 U+FE0F,woman zombie,data\emoji_images\U+1F9DF U+200D U+2640 U+FE0F.png
U+1F486,person getting massage,data\emoji_images\U+1F486.png
U+1F486 U+200D U+2642 U+FE0F,man getting massage,data\emoji_images\U+1F486 U+200D U+2642 U+FE0F.png
U+1F486 U+200D U+2640 U+FE0F,woman getting massage,data\emoji_images\U+1F486 U+200D U+2640 U+FE0F.png
U+1F487,person getting haircut,data\emoji_images\U+1F487.png
U+1F487 U+200D U+2642 U+FE0F,man getting haircut,data\emoji_images\U+1F487 U+200D U+2642 U+FE0F.png
U+1F487 U+200D U+2640 U+FE0F,woman getting haircut,data\emoji_images\U+1F487 U+200D U+2640 U+FE0F.png
U+1F6B6,person walking,data\emoji_images\U+1F6B6.png
U+1F6B6 U+200D U+2642 U+FE0F,man walking,data\emoji_images\U+1F6B6 U+200D U+2642 U+FE0F.png
U+1F6B6 U+200D U+2640 U+FE0F,woman walking,data\emoji_images\U+1F6B6 U+200D U+2640 U+FE0F.png
U+1F9CD,person standing,data\emoji_images\U+1F9CD.png
U+1F9CD U+200D U+2642 U+FE0F,man standing,data\emoji_images\U+1F9CD U+200D U+2642 U+FE0F.png
U+1F9CD U+200D U+2640 U+FE0F,woman standing,data\emoji_images\U+1F9CD U+200D U+2640 U+FE0F.png
U+1F9CE,person kneeling,data\emoji_images\U+1F9CE.png
U+1F9CE U+200D U+2642 U+FE0F,man kneeling,data\emoji_images\U+1F9CE U+200D U+2642 U+FE0F.png
U+1F9CE U+200D U+2640 U+FE0F,woman kneeling,data\emoji_images\U+1F9CE U+200D U+2640 U+FE0F.png
U+1F9D1 U+200D U+1F9AF,person with white cane,data\emoji_images\U+1F9D1 U+200D U+1F9AF.png
U+1F468 U+200D U+1F9AF,man with white cane,data\emoji_images\U+1F468 U+200D U+1F9AF.png
U+1F469 U+200D U+1F9AF,woman with white cane,data\emoji_images\U+1F469 U+200D U+1F9AF.png
U+1F9D1 U+200D U+1F9BC,person in motorized wheelchair,data\emoji_images\U+1F9D1 U+200D U+1F9BC.png
U+1F468 U+200D U+1F9BC,man in motorized wheelchair,data\emoji_images\U+1F468 U+200D U+1F9BC.png
U+1F469 U+200D U+1F9BC,woman in motorized wheelchair,data\emoji_images\U+1F469 U+200D U+1F9BC.png
U+1F9D1 U+200D U+1F9BD,person in manual wheelchair,data\emoji_images\U+1F9D1 U+200D U+1F9BD.png
U+1F468 U+200D U+1F9BD,man in manual wheelchair,data\emoji_images\U+1F468 U+200D U+1F9BD.png
U+1F469 U+200D U+1F9BD,woman in manual wheelchair,data\emoji_images\U+1F469 U+200D U+1F9BD.png
U+1F3C3,person running,data\emoji_images\U+1F3C3.png
U+1F3C3 U+200D U+2642 U+FE0F,man running,data\emoji_images\U+1F3C3 U+200D U+2642 U+FE0F.png
U+1F3C3 U+200D U+2640 U+FE0F,woman running,data\emoji_images\U+1F3C3 U+200D U+2640 U+FE0F.png
U+1F483,woman dancing,data\emoji_images\U+1F483.png
U+1F57A,man dancing,data\emoji_images\U+1F57A.png
U+1F574,person in suit levitating,data\emoji_images\U+1F574.png
U+1F46F,people with bunny ears,data\emoji_images\U+1F46F.png
U+1F46F U+200D U+2642 U+FE0F,men with bunny ears,data\emoji_images\U+1F46F U+200D U+2642 U+FE0F.png
U+1F46F U+200D U+2640 U+FE0F,women with bunny ears,data\emoji_images\U+1F46F U+200D U+2640 U+FE0F.png
U+1F9D6,person in steamy room,data\emoji_images\U+1F9D6.png
U+1F9D6 U+200D U+2642 U+FE0F,man in steamy room,data\emoji_images\U+1F9D6 U+200D U+2642 U+FE0F.png
U+1F9D6 U+200D U+2640 U+FE0F,woman in steamy room,data\emoji_images\U+1F9D6 U+200D U+2640 U+FE0F.png
U+1F9D7,person climbing,data\emoji_images\U+1F9D7.png
U+1F9D7 U+200D U+2642 U+FE0F,man climbing,data\emoji_images\U+1F9D7 U+200D U+2642 U+FE0F.png
U+1F9D7 U+200D U+2640 U+FE0F,woman climbing,data\emoji_images\U+1F9D7 U+200D U+2640 U+FE0F.png
U+1F93A,person fencing,data\emoji_images\U+1F93A.png
U+1F3C7,horse racing,data\emoji_images\U+1F3C7.png
U+26F7,skier,data\emoji_images\U+26F7.png
U+1F3C2,snowboarder,data\emoji_images\U+1F3C2.png
U+1F3CC,person golfing,data\emoji_images\U+1F3CC.png
U+1F3CC U+FE0F U+200D U+2642 U+FE0F,man golfing,data\emoji_images\U+1F3CC U+FE0F U+200D U+2642 U+FE0F.png
U+1F3CC U+FE0F U+200D U+2640 U+FE0F,woman golfing,data\emoji_images\U+1F3CC U+FE0F U+200D U+2640 U+FE0F.png
U+1F3C4,person surfing,data\emoji_images\U+1F3C4.png
U+1F3C4 U+200D U+2642 U+FE0F,man surfing,data\emoji_images\U+1F3C4 U+200D U+2642 U+FE0F.png
U+1F3C4 U+200D U+2640 U+FE0F,woman surfing,data\emoji_images\U+1F3C4 U+200D U+2640 U+FE0F.png
U+1F6A3,person rowing boat,data\emoji_images\U+1F6A3.png
U+1F6A3 U+200D U+2642 U+FE0F,man rowing boat,data\emoji_images\U+1F6A3 U+200D U+2642 U+FE0F.png
U+1F6A3 U+200D U+2640 U+FE0F,woman rowing boat,data\emoji_images\U+1F6A3 U+200D U+2640 U+FE0F.png
U+1F3CA,person swimming,data\emoji_images\U+1F3CA.png
U+1F3CA U+200D U+2642 U+FE0F,man swimming,data\emoji_images\U+1F3CA U+200D U+2642 U+FE0F.png
U+1F3CA U+200D U+2640 U+FE0F,woman swimming,data\emoji_images\U+1F3CA U+200D U+2640 U+FE0F.png
U+26F9,person bouncing ball,data\emoji_images\U+26F9.png
U+26F9 U+FE0F U+200D U+2642 U+FE0F,man bouncing ball,data\emoji_images\U+26F9 U+FE0F U+200D U+2642 U+FE0F.png
U+26F9 U+FE0F U+200D U+2640 U+FE0F,woman bouncing ball,data\emoji_images\U+26F9 U+FE0F U+200D U+2640 U+FE0F.png
U+1F3CB,person lifting weights,data\emoji_images\U+1F3CB.png
U+1F3CB U+FE0F U+200D U+2642 U+FE0F,man lifting weights,data\emoji_images\U+1F3CB U+FE0F U+200D U+2642 U+FE0F.png
U+1F3CB U+FE0F U+200D U+2640 U+FE0F,woman lifting weights,data\emoji_images\U+1F3CB U+FE0F U+200D U+2640 U+FE0F.png
U+1F6B4,person biking,data\emoji_images\U+1F6B4.png
U+1F6B4 U+200D U+2642 U+FE0F,man biking,data\emoji_images\U+1F6B4 U+200D U+2642 U+FE0F.png
U+1F6B4 U+200D U+2640 U+FE0F,woman biking,data\emoji_images\U+1F6B4 U+200D U+2640 U+FE0F.png
U+1F6B5,person mountain biking,data\emoji_images\U+1F6B5.png
U+1F6B5 U+200D U+2642 U+FE0F,man mountain biking,data\emoji_images\U+1F6B5 U+200D U+2642 U+FE0F.png
U+1F6B5 U+200D U+2640 U+FE0F,woman mountain biking,data\emoji_images\U+1F6B5 U+200D U+2640 U+FE0F.png
U+1F938,person cartwheeling,data\emoji_images\U+1F938.png
U+1F938 U+200D U+2642 U+FE0F,man cartwheeling,data\emoji_images\U+1F938 U+200D U+2642 U+FE0F.png
U+1F938 U+200D U+2640 U+FE0F,woman cartwheeling,data\emoji_images\U+1F938 U+200D U+2640 U+FE0F.png
U+1F93C,people wrestling,data\emoji_images\U+1F93C.png
U+1F93C U+200D U+2642 U+FE0F,men wrestling,data\emoji_images\U+1F93C U+200D U+2642 U+FE0F.png
U+1F93C U+200D U+2640 U+FE0F,women wrestling,data\emoji_images\U+1F93C U+200D U+2640 U+FE0F.png
U+1F93D,person playing water polo,data\emoji_images\U+1F93D.png
U+1F93D U+200D U+2642 U+FE0F,man playing water polo,data\emoji_images\U+1F93D U+200D U+2642 U+FE0F.png
U+1F93D U+200D U+2640 U+FE0F,woman playing water polo,data\emoji_images\U+1F93D U+200D U+2640 U+FE0F.png
U+1F93E,person playing handball,data\emoji_images\U+1F93E.png
U+1F93E U+200D U+2642 U+FE0F,man playing handball,data\emoji_images\U+1F93E U+200D U+2642 U+FE0F.png
U+1F93E U+200D U+2640 U+FE0F,woman playing handball,data\emoji_images\U+1F93E U+200D U+2640 U+FE0F.png
U+1F939,person juggling,data\emoji_images\U+1F939.png
U+1F939 U+200D U+2642 U+FE0F,man juggling,data\emoji_images\U+1F939 U+200D U+2642 U+FE0F.png
U+1F939 U+200D U+2640 U+FE0F,woman juggling,data\emoji_images\U+1F939 U+200D U+2640 U+FE0F.png
U+1F9D8,person in lotus position,data\emoji_images\U+1F9D8.png
U+1F9D8 U+200D U+2642 U+FE0F,man in lotus position,data\emoji_images\U+1F9D8 U+200D U+2642 U+FE0F.png
U+1F9D8 U+200D U+2640 U+FE0F,woman in lotus position,data\emoji_images\U+1F9D8 U+200D U+2640 U+FE0F.png
U+1F6C0,person taking bath,data\emoji_images\U+1F6C0.png
U+1F6CC,person in bed,data\emoji_images\U+1F6CC.png
U+1F9D1 U+200D U+1F91D U+200D U+1F9D1,people holding hands,data\emoji_images\U+1F9D1 U+200D U+1F91D U+200D U+1F9D1.png
U+1F46D,women holding hands,data\emoji_images\U+1F46D.png
U+1F46B,woman and man holding hands,data\emoji_images\U+1F46B.png
U+1F46C,men holding hands,data\emoji_images\U+1F46C.png
U+1F48F,kiss,data\emoji_images\U+1F48F.png
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,"kiss: woman, man",data\emoji_images\U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468.png
U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,"kiss: man, man",data\emoji_images\U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468.png
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469,"kiss: woman, woman",data\emoji_images\U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469.png
U+1F491,couple with heart,data\emoji_images\U+1F491.png
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468,"couple with heart: woman, man",data\emoji_images\U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468.png
U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468,"couple with heart: man, man",data\emoji_images\U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468.png
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469,"couple with heart: woman, woman",data\emoji_images\U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469.png
U+1F46A,family,data\emoji_images\U+1F46A.png
U+1F468 U+200D U+1F469 U+200D U+1F466,"family: man, woman, boy",data\emoji_images\U+1F468 U+200D U+1F469 U+200D U+1F466.png
U+1F468 U+200D U+1F469 U+200D U+1F467,"family: man, woman, girl",data\emoji_images\U+1F468 U+200D U+1F469 U+200D U+1F467.png
U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,"family: man, woman, girl, boy",data\emoji_images\U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466.png
U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,"family: man, woman, boy, boy",data\emoji_images\U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466.png
U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,"family: man, woman, girl, girl",data\emoji_images\U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467.png
U+1F468 U+200D U+1F468 U+200D U+1F466,"family: man, man, boy",data\emoji_images\U+1F468 U+200D U+1F468 U+200D U+1F466.png
U+1F468 U+200D U+1F468 U+200D U+1F467,"family: man, man, girl",data\emoji_images\U+1F468 U+200D U+1F468 U+200D U+1F467.png
U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466,"family: man, man, girl, boy",data\emoji_images\U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466.png
U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466,"family: man, man, boy, boy",data\emoji_images\U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466.png
U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467,"family: man, man, girl, girl",data\emoji_images\U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467.png
U+1F469 U+200D U+1F469 U+200D U+1F466,"family: woman, woman, boy",data\emoji_images\U+1F469 U+200D U+1F469 U+200D U+1F466.png
U+1F469 U+200D U+1F469 U+200D U+1F467,"family: woman, woman, girl",data\emoji_images\U+1F469 U+200D U+1F469 U+200D U+1F467.png
U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,"family: woman, woman, girl, boy",data\emoji_images\U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466.png
U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,"family: woman, woman, boy, boy",data\emoji_images\U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466.png
U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,"family: woman, woman, girl, girl",data\emoji_images\U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467.png
U+1F468 U+200D U+1F466,"family: man, boy",data\emoji_images\U+1F468 U+200D U+1F466.png
U+1F468 U+200D U+1F466 U+200D U+1F466,"family: man, boy, boy",data\emoji_images\U+1F468 U+200D U+1F466 U+200D U+1F466.png
U+1F468 U+200D U+1F467,"family: man, girl",data\emoji_images\U+1F468 U+200D U+1F467.png
U+1F468 U+200D U+1F467 U+200D U+1F466,"family: man, girl, boy",data\emoji_images\U+1F468 U+200D U+1F467 U+200D U+1F466.png
U+1F468 U+200D U+1F467 U+200D U+1F467,"family: man, girl, girl",data\emoji_images\U+1F468 U+200D U+1F467 U+200D U+1F467.png
U+1F469 U+200D U+1F466,"family: woman, boy",data\emoji_images\U+1F469 U+200D U+1F466.png
U+1F469 U+200D U+1F466 U+200D U+1F466,"family: woman, boy, boy",data\emoji_images\U+1F469 U+200D U+1F466 U+200D U+1F466.png
U+1F469 U+200D U+1F467,"family: woman, girl",data\emoji_images\U+1F469 U+200D U+1F467.png
U+1F469 U+200D U+1F467 U+200D U+1F466,"family: woman, girl, boy",data\emoji_images\U+1F469 U+200D U+1F467 U+200D U+1F466.png
U+1F469 U+200D U+1F467 U+200D U+1F467,"family: woman, girl, girl",data\emoji_images\U+1F469 U+200D U+1F467 U+200D U+1F467.png
U+1F5E3,speaking head,data\emoji_images\U+1F5E3.png
U+1F464,bust in silhouette,data\emoji_images\U+1F464.png
U+1F465,busts in silhouette,data\emoji_images\U+1F465.png
U+1FAC2,people hugging,data\emoji_images\U+1FAC2.png
U+1F463,footprints,data\emoji_images\U+1F463.png
U+1F9B0,red hair,data\emoji_images\U+1F9B0.png
U+1F9B1,curly hair,data\emoji_images\U+1F9B1.png
U+1F9B3,white hair,data\emoji_images\U+1F9B3.png
U+1F9B2,bald,data\emoji_images\U+1F9B2.png
U+1F435,monkey face,data\emoji_images\U+1F435.png
U+1F412,monkey,data\emoji_images\U+1F412.png
U+1F98D,gorilla,data\emoji_images\U+1F98D.png
U+1F9A7,orangutan,data\emoji_images\U+1F9A7.png
U+1F436,dog face,data\emoji_images\U+1F436.png
U+1F415,dog,data\emoji_images\U+1F415.png
U+1F9AE,guide dog,data\emoji_images\U+1F9AE.png
U+1F415 U+200D U+1F9BA,service dog,data\emoji_images\U+1F415 U+200D U+1F9BA.png
U+1F429,poodle,data\emoji_images\U+1F429.png
U+1F43A,wolf,data\emoji_images\U+1F43A.png
U+1F98A,fox,data\emoji_images\U+1F98A.png
U+1F99D,raccoon,data\emoji_images\U+1F99D.png
U+1F431,cat face,data\emoji_images\U+1F431.png
U+1F408,cat,data\emoji_images\U+1F408.png
U+1F408 U+200D U+2B1B,black cat,data\emoji_images\U+1F408 U+200D U+2B1B.png
U+1F981,lion,data\emoji_images\U+1F981.png
U+1F42F,tiger face,data\emoji_images\U+1F42F.png
U+1F405,tiger,data\emoji_images\U+1F405.png
U+1F406,leopard,data\emoji_images\U+1F406.png
U+1F434,horse face,data\emoji_images\U+1F434.png
U+1F40E,horse,data\emoji_images\U+1F40E.png
U+1F984,unicorn,data\emoji_images\U+1F984.png
U+1F993,zebra,data\emoji_images\U+1F993.png
U+1F98C,deer,data\emoji_images\U+1F98C.png
U+1F9AC,bison,data\emoji_images\U+1F9AC.png
U+1F42E,cow face,data\emoji_images\U+1F42E.png
U+1F402,ox,data\emoji_images\U+1F402.png
U+1F403,water buffalo,data\emoji_images\U+1F403.png
U+1F404,cow,data\emoji_images\U+1F404.png
U+1F437,pig face,data\emoji_images\U+1F437.png
U+1F416,pig,data\emoji_images\U+1F416.png
U+1F417,boar,data\emoji_images\U+1F417.png
U+1F43D,pig nose,data\emoji_images\U+1F43D.png
U+1F40F,ram,data\emoji_images\U+1F40F.png
U+1F411,ewe,data\emoji_images\U+1F411.png
U+1F410,goat,data\emoji_images\U+1F410.png
U+1F42A,camel,data\emoji_images\U+1F42A.png
U+1F42B,two-hump camel,data\emoji_images\U+1F42B.png
U+1F999,llama,data\emoji_images\U+1F999.png
U+1F992,giraffe,data\emoji_images\U+1F992.png
U+1F418,elephant,data\emoji_images\U+1F418.png
U+1F9A3,mammoth,data\emoji_images\U+1F9A3.png
U+1F98F,rhinoceros,data\emoji_images\U+1F98F.png
U+1F99B,hippopotamus,data\emoji_images\U+1F99B.png
U+1F42D,mouse face,data\emoji_images\U+1F42D.png
U+1F401,mouse,data\emoji_images\U+1F401.png
U+1F400,rat,data\emoji_images\U+1F400.png
U+1F439,hamster,data\emoji_images\U+1F439.png
U+1F430,rabbit face,data\emoji_images\U+1F430.png
U+1F407,rabbit,data\emoji_images\U+1F407.png
U+1F43F,chipmunk,data\emoji_images\U+1F43F.png
U+1F9AB,beaver,data\emoji_images\U+1F9AB.png
U+1F994,hedgehog,data\emoji_images\U+1F994.png
U+1F987,bat,data\emoji_images\U+1F987.png
U+1F43B,bear,data\emoji_images\U+1F43B.png
U+1F43B U+200D U+2744 U+FE0F,polar bear,data\emoji_images\U+1F43B U+200D U+2744 U+FE0F.png
U+1F428,koala,data\emoji_images\U+1F428.png
U+1F43C,panda,data\emoji_images\U+1F43C.png
U+1F9A5,sloth,data\emoji_images\U+1F9A5.png
U+1F9A6,otter,data\emoji_images\U+1F9A6.png
U+1F9A8,skunk,data\emoji_images\U+1F9A8.png
U+1F998,kangaroo,data\emoji_images\U+1F998.png
U+1F9A1,badger,data\emoji_images\U+1F9A1.png
U+1F43E,paw prints,data\emoji_images\U+1F43E.png
U+1F983,turkey,data\emoji_images\U+1F983.png
U+1F414,chicken,data\emoji_images\U+1F414.png
U+1F413,rooster,data\emoji_images\U+1F413.png
U+1F423,hatching chick,data\emoji_images\U+1F423.png
U+1F424,baby chick,data\emoji_images\U+1F424.png
U+1F425,front-facing baby chick,data\emoji_images\U+1F425.png
U+1F426,bird,data\emoji_images\U+1F426.png
U+1F427,penguin,data\emoji_images\U+1F427.png
U+1F54A,dove,data\emoji_images\U+1F54A.png
U+1F985,eagle,data\emoji_images\U+1F985.png
U+1F986,duck,data\emoji_images\U+1F986.png
U+1F9A2,swan,data\emoji_images\U+1F9A2.png
U+1F989,owl,data\emoji_images\U+1F989.png
U+1F9A4,dodo,data\emoji_images\U+1F9A4.png
U+1FAB6,feather,data\emoji_images\U+1FAB6.png
U+1F9A9,flamingo,data\emoji_images\U+1F9A9.png
U+1F99A,peacock,data\emoji_images\U+1F99A.png
U+1F99C,parrot,data\emoji_images\U+1F99C.png
U+1F438,frog,data\emoji_images\U+1F438.png
U+1F40A,crocodile,data\emoji_images\U+1F40A.png
U+1F422,turtle,data\emoji_images\U+1F422.png
U+1F98E,lizard,data\emoji_images\U+1F98E.png
U+1F40D,snake,data\emoji_images\U+1F40D.png
U+1F432,dragon face,data\emoji_images\U+1F432.png
U+1F409,dragon,data\emoji_images\U+1F409.png
U+1F995,sauropod,data\emoji_images\U+1F995.png
U+1F996,T-Rex,data\emoji_images\U+1F996.png
U+1F433,spouting whale,data\emoji_images\U+1F433.png
U+1F40B,whale,data\emoji_images\U+1F40B.png
U+1F42C,dolphin,data\emoji_images\U+1F42C.png
U+1F9AD,seal,data\emoji_images\U+1F9AD.png
U+1F41F,fish,data\emoji_images\U+1F41F.png
U+1F420,tropical fish,data\emoji_images\U+1F420.png
U+1F421,blowfish,data\emoji_images\U+1F421.png
U+1F988,shark,data\emoji_images\U+1F988.png
U+1F419,octopus,data\emoji_images\U+1F419.png
U+1F41A,spiral shell,data\emoji_images\U+1F41A.png
U+1F40C,snail,data\emoji_images\U+1F40C.png
U+1F98B,butterfly,data\emoji_images\U+1F98B.png
U+1F41B,bug,data\emoji_images\U+1F41B.png
U+1F41C,ant,data\emoji_images\U+1F41C.png
U+1F41D,honeybee,data\emoji_images\U+1F41D.png
U+1FAB2,beetle,data\emoji_images\U+1FAB2.png
U+1F41E,lady beetle,data\emoji_images\U+1F41E.png
U+1F997,cricket,data\emoji_images\U+1F997.png
U+1FAB3,cockroach,data\emoji_images\U+1FAB3.png
U+1F577,spider,data\emoji_images\U+1F577.png
U+1F578,spider web,data\emoji_images\U+1F578.png
U+1F982,scorpion,data\emoji_images\U+1F982.png
U+1F99F,mosquito,data\emoji_images\U+1F99F.png
U+1FAB0,fly,data\emoji_images\U+1FAB0.png
U+1FAB1,worm,data\emoji_images\U+1FAB1.png
U+1F9A0,microbe,data\emoji_images\U+1F9A0.png
U+1F490,bouquet,data\emoji_images\U+1F490.png
U+1F338,cherry blossom,data\emoji_images\U+1F338.png
U+1F4AE,white flower,data\emoji_images\U+1F4AE.png
U+1F3F5,rosette,data\emoji_images\U+1F3F5.png
U+1F339,rose,data\emoji_images\U+1F339.png
U+1F940,wilted flower,data\emoji_images\U+1F940.png
U+1F33A,hibiscus,data\emoji_images\U+1F33A.png
U+1F33B,sunflower,data\emoji_images\U+1F33B.png
U+1F33C,blossom,data\emoji_images\U+1F33C.png
U+1F337,tulip,data\emoji_images\U+1F337.png
U+1F331,seedling,data\emoji_images\U+1F331.png
U+1FAB4,potted plant,data\emoji_images\U+1FAB4.png
U+1F332,evergreen tree,data\emoji_images\U+1F332.png
U+1F333,deciduous tree,data\emoji_images\U+1F333.png
U+1F334,palm tree,data\emoji_images\U+1F334.png
U+1F335,cactus,data\emoji_images\U+1F335.png
U+1F33E,sheaf of rice,data\emoji_images\U+1F33E.png
U+1F33F,herb,data\emoji_images\U+1F33F.png
U+2618,shamrock,data\emoji_images\U+2618.png
U+1F340,four leaf clover,data\emoji_images\U+1F340.png
U+1F341,maple leaf,data\emoji_images\U+1F341.png
U+1F342,fallen leaf,data\emoji_images\U+1F342.png
U+1F343,leaf fluttering in wind,data\emoji_images\U+1F343.png
U+1F347,grapes,data\emoji_images\U+1F347.png
U+1F348,melon,data\emoji_images\U+1F348.png
U+1F349,watermelon,data\emoji_images\U+1F349.png
U+1F34A,tangerine,data\emoji_images\U+1F34A.png
U+1F34B,lemon,data\emoji_images\U+1F34B.png
U+1F34C,banana,data\emoji_images\U+1F34C.png
U+1F34D,pineapple,data\emoji_images\U+1F34D.png
U+1F96D,mango,data\emoji_images\U+1F96D.png
U+1F34E,red apple,data\emoji_images\U+1F34E.png
U+1F34F,green apple,data\emoji_images\U+1F34F.png
U+1F350,pear,data\emoji_images\U+1F350.png
U+1F351,peach,data\emoji_images\U+1F351.png
U+1F352,cherries,data\emoji_images\U+1F352.png
U+1F353,strawberry,data\emoji_images\U+1F353.png
U+1FAD0,blueberries,data\emoji_images\U+1FAD0.png
U+1F95D,kiwi fruit,data\emoji_images\U+1F95D.png
U+1F345,tomato,data\emoji_images\U+1F345.png
U+1FAD2,olive,data\emoji_images\U+1FAD2.png
U+1F965,coconut,data\emoji_images\U+1F965.png
U+1F951,avocado,data\emoji_images\U+1F951.png
U+1F346,eggplant,data\emoji_images\U+1F346.png
U+1F954,potato,data\emoji_images\U+1F954.png
U+1F955,carrot,data\emoji_images\U+1F955.png
U+1F33D,ear of corn,data\emoji_images\U+1F33D.png
U+1F336,hot pepper,data\emoji_images\U+1F336.png
U+1FAD1,bell pepper,data\emoji_images\U+1FAD1.png
U+1F952,cucumber,data\emoji_images\U+1F952.png
U+1F96C,leafy green,data\emoji_images\U+1F96C.png
U+1F966,broccoli,data\emoji_images\U+1F966.png
U+1F9C4,garlic,data\emoji_images\U+1F9C4.png
U+1F9C5,onion,data\emoji_images\U+1F9C5.png
U+1F344,mushroom,data\emoji_images\U+1F344.png
U+1F95C,peanuts,data\emoji_images\U+1F95C.png
U+1F330,chestnut,data\emoji_images\U+1F330.png
U+1F35E,bread,data\emoji_images\U+1F35E.png
U+1F950,croissant,data\emoji_images\U+1F950.png
U+1F956,baguette bread,data\emoji_images\U+1F956.png
U+1FAD3,flatbread,data\emoji_images\U+1FAD3.png
U+1F968,pretzel,data\emoji_images\U+1F968.png
U+1F96F,bagel,data\emoji_images\U+1F96F.png
U+1F95E,pancakes,data\emoji_images\U+1F95E.png
U+1F9C7,waffle,data\emoji_images\U+1F9C7.png
U+1F9C0,cheese wedge,data\emoji_images\U+1F9C0.png
U+1F356,meat on bone,data\emoji_images\U+1F356.png
U+1F357,poultry leg,data\emoji_images\U+1F357.png
U+1F969,cut of meat,data\emoji_images\U+1F969.png
U+1F953,bacon,data\emoji_images\U+1F953.png
U+1F354,hamburger,data\emoji_images\U+1F354.png
U+1F35F,french fries,data\emoji_images\U+1F35F.png
U+1F355,pizza,data\emoji_images\U+1F355.png
U+1F32D,hot dog,data\emoji_images\U+1F32D.png
U+1F96A,sandwich,data\emoji_images\U+1F96A.png
U+1F32E,taco,data\emoji_images\U+1F32E.png
U+1F32F,burrito,data\emoji_images\U+1F32F.png
U+1FAD4,tamale,data\emoji_images\U+1FAD4.png
U+1F959,stuffed flatbread,data\emoji_images\U+1F959.png
U+1F9C6,falafel,data\emoji_images\U+1F9C6.png
U+1F95A,egg,data\emoji_images\U+1F95A.png
U+1F373,cooking,data\emoji_images\U+1F373.png
U+1F958,shallow pan of food,data\emoji_images\U+1F958.png
U+1F372,pot of food,data\emoji_images\U+1F372.png
U+1FAD5,fondue,data\emoji_images\U+1FAD5.png
U+1F963,bowl with spoon,data\emoji_images\U+1F963.png
U+1F957,green salad,data\emoji_images\U+1F957.png
U+1F37F,popcorn,data\emoji_images\U+1F37F.png
U+1F9C8,butter,data\emoji_images\U+1F9C8.png
U+1F9C2,salt,data\emoji_images\U+1F9C2.png
U+1F96B,canned food,data\emoji_images\U+1F96B.png
U+1F371,bento box,data\emoji_images\U+1F371.png
U+1F358,rice cracker,data\emoji_images\U+1F358.png
U+1F359,rice ball,data\emoji_images\U+1F359.png
U+1F35A,cooked rice,data\emoji_images\U+1F35A.png
U+1F35B,curry rice,data\emoji_images\U+1F35B.png
U+1F35C,steaming bowl,data\emoji_images\U+1F35C.png
